Date,Mat_Month,Mat_Year,Mat_Day
2000-01-31,1,2000,31
2000-02-29,2,2000,29
2000-03-31,3,2000,31
2000-04-28,4,2000,28
2000-05-31,5,2000,31
2000-06-30,6,2000,30
2000-07-31,7,2000,31
2000-08-31,8,2000,31
2000-09-29,9,2000,29
2000-10-31,10,2000,31
2000-11-30,11,2000,30
2000-12-29,12,2000,29
2001-01-31,1,2001,31
2001-02-28,2,2001,28
2001-03-30,3,2001,30
2001-04-30,4,2001,30
2001-05-31,5,2001,31
2001-06-29,6,2001,29
2001-07-31,7,2001,31
2001-08-31,8,2001,31
2001-09-28,9,2001,28
2001-10-31,10,2001,31
2001-11-30,11,2001,30
2001-12-31,12,2001,31
2002-01-31,1,2002,31
2002-02-28,2,2002,28
2002-03-29,3,2002,29
2002-04-30,4,2002,30
2002-05-31,5,2002,31
2002-06-28,6,2002,28
2002-07-31,7,2002,31
2002-08-30,8,2002,30
2002-09-30,9,2002,30
2002-10-31,10,2002,31
2002-11-29,11,2002,29
2002-12-31,12,2002,31
2003-01-31,1,2003,31
2003-02-28,2,2003,28
2003-03-31,3,2003,31
2003-04-30,4,2003,30
2003-05-30,5,2003,30
2003-06-30,6,2003,30
2003-07-31,7,2003,31
2003-08-29,8,2003,29
2003-09-30,9,2003,30
2003-10-31,10,2003,31
2003-11-28,11,2003,28
2003-12-31,12,2003,31
2004-01-30,1,2004,30
2004-02-27,2,2004,27
2004-03-31,3,2004,31
2004-04-30,4,2004,30
2004-05-31,5,2004,31
2004-06-30,6,2004,30
2004-07-30,7,2004,30
2004-08-31,8,2004,31
2004-09-30,9,2004,30
2004-10-29,10,2004,29
2004-11-30,11,2004,30
2004-12-31,12,2004,31
2005-01-31,1,2005,31
2005-02-28,2,2005,28
2005-03-31,3,2005,31
2005-04-29,4,2005,29
2005-05-31,5,2005,31
2005-06-30,6,2005,30
2005-07-29,7,2005,29
2005-08-31,8,2005,31
2005-09-30,9,2005,30
2005-10-31,10,2005,31
2005-11-30,11,2005,30
2005-12-30,12,2005,30
2006-01-31,1,2006,31
2006-02-28,2,2006,28
2006-03-31,3,2006,31
2006-04-28,4,2006,28
2006-05-31,5,2006,31
2006-06-30,6,2006,30
2006-07-31,7,2006,31
2006-08-31,8,2006,31
2006-09-29,9,2006,29
2006-10-31,10,2006,31
2006-11-30,11,2006,30
2006-12-29,12,2006,29
2007-01-31,1,2007,31
2007-02-28,2,2007,28
2007-03-30,3,2007,30
2007-04-30,4,2007,30
2007-05-31,5,2007,31
2007-06-29,6,2007,29
2007-07-31,7,2007,31
2007-08-31,8,2007,31
2007-09-28,9,2007,28
2007-10-31,10,2007,31
2007-11-30,11,2007,30
2007-12-31,12,2007,31
2008-01-31,1,2008,31
2008-02-29,2,2008,29
2008-03-31,3,2008,31
2008-04-30,4,2008,30
2008-05-30,5,2008,30
2008-06-30,6,2008,30
2008-07-31,7,2008,31
2008-08-29,8,2008,29
2008-09-30,9,2008,30
2008-10-31,10,2008,31
2008-11-28,11,2008,28
2008-12-31,12,2008,31
2009-01-30,1,2009,30
2009-02-27,2,2009,27
2009-03-31,3,2009,31
2009-04-30,4,2009,30
2009-05-29,5,2009,29
2009-06-30,6,2009,30
2009-07-31,7,2009,31
2009-08-31,8,2009,31
2009-09-30,9,2009,30
2009-10-30,10,2009,30
2009-11-30,11,2009,30
2009-12-31,12,2009,31
2010-01-29,1,2010,29
2010-02-26,2,2010,26
2010-03-31,3,2010,31
